tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
18.0,12.0,6.08,7.32,0.0,0.0,1.0,0.0,4000.0,2.9,640.0,4.8,0.99,0.18,0.17,2.0,30.0,50.0,0.005,1.0,0.1,0.15,35.0,1.0
15.1,11.0,5.75,7.19,1.0,0.0,0.0,0.0,11000.0,5200.0,1400.0,15.7,3.5,0.36,0.34,4.3,37.0,39.0,0.005,0.001,5.99,0.15,37.0,1.0
21.0,25.0,2.98,6.49,0.0,0.0,0.0,1.0,1000.0,400.0,900.0,2.0,1.0,0.14,0.2,2.0,40.0,24.0,0.005,0.001,10.0,0.15,33.0,1.0
25.9,24.0,5.28,6.69,0.0,1.0,0.0,1.0,15000.0,3200.0,560.0,4.3,1.5,0.44,0.25,3.3,30.0,24.0,0.005,0.001,8.57,0.15,34.0,1.0
18.0,12.0,5.85,7.06,0.0,0.0,0.0,0.0,2.0,1.5,250.0,5.3,0.49,0.19,0.18,2.0,30.0,45.0,0.005,1.0,0.35,0.15,40.0,1.0
15.3,11.0,5.36,7.13,1.0,1.0,1.0,1.0,4000.0,3600.0,1500.0,18.6,4.0,1.3,0.53,4.3,40.0,29.0,0.005,0.001,4.54,0.15,30.0,1.0
23.0,25.0,2.01,6.67,0.0,0.0,0.0,1.0,19000.0,18000.0,5700.0,2.3,2.6,0.44,0.2,4.7,30.0,8.7,0.005,0.001,10.0,0.15,33.0,1.0
25.2,24.0,5.02,6.4,0.0,1.0,0.0,1.0,2000.0,1100.0,100.0,7.3,3.8,0.5,0.4,4.3,30.0,20.0,0.005,0.001,18.37,0.15,31.0,1.0
19.0,11.0,5.26,7.05,0.0,0.0,0.0,0.0,41.0,20.0,9300.0,9.6,3.0,0.31,0.3,3.6,30.0,45.0,0.005,1.0,1.31,0.15,35.0,1.0
15.3,10.0,4.13,7.17,1.0,1.0,0.0,1.0,6000.0,4100.0,2000.0,23.1,5.2,0.9,0.64,5.6,38.0,26.0,7.0,0.001,7.24,0.15,29.0,1.0
23.0,24.0,2.67,6.62,1.0,0.0,0.0,1.0,15000.0,13000.0,3000.0,2.3,7.5,0.95,0.34,5.7,53.0,20.0,0.0,0.001,30.0,0.15,30.0,1.0
29.4,29.0,3.45,6.83,1.0,1.0,0.0,1.0,21000.0,7200.0,1.19,3.4,4.6,0.52,0.48,3.5,30.0,6.0,0.005,0.001,11.02,0.15,29.0,1.0
18.0,15.0,5.88,7.16,0.0,0.0,0.0,1.0,4.0,600.0,930.0,4.3,0.75,0.21,0.2,2.0,30.0,50.0,0.005,1.0,1.28,0.15,35.0,1.0
15.5,10.0,3.1,7.07,0.0,1.0,0.0,1.0,9000.0,4400.0,920.0,20.2,5.5,1.0,0.6,4.0,30.0,17.0,0.005,0.001,3.99,0.15,33.0,1.0
23.0,24.0,1.95,6.65,0.0,0.0,0.0,1.0,7000.0,2000.0,1600.0,2.9,0.71,0.44,0.2,4.6,80.0,3.1,0.005,0.001,12.7,0.15,34.0,1.0
28.5,29.0,6.7,7.04,0.0,0.0,0.0,0.0,800.0,120.0,110.0,2.8,0.05,0.1,0.1,2.0,30.0,28.0,0.005,0.001,0.1,0.15,62.0,0.0
19.0,14.0,8.09,7.3,0.0,0.0,0.0,0.0,267.5,660.0,220.0,3.1,0.06,0.1,0.1,2.0,30.0,70.0,0.005,1.0,0.35,0.15,43.0,1.0
15.8,10.0,8.72,7.39,0.0,0.0,0.0,1.0,8800.0,1620.0,220.0,2.7,0.1,0.59,0.2,2.0,32.0,39.0,0.005,0.001,0.42,0.15,44.0,1.0
21.0,24.0,4.15,6.61,0.0,0.0,0.0,0.0,400.0,200.0,360.0,2.0,0.6,0.1,0.2,2.0,30.0,33.0,0.005,0.001,10.0,0.15,38.0,1.0
28.0,29.0,5.19,6.91,0.0,0.0,0.0,1.0,1200.0,350.0,550.0,2.1,0.23,0.23,0.12,2.0,30.0,45.0,0.006,0.001,25.58,0.15,37.0,1.0
18.0,14.0,7.82,7.08,0.0,0.0,0.0,0.0,235.0,220.0,140.0,2.0,0.07,0.1,0.1,2.0,30.0,65.0,0.0051,1.0,0.91,0.15,40.0,1.0
13.5,10.0,7.74,7.11,0.0,0.0,0.0,0.0,170.0,150.0,170.0,2.5,0.25,0.14,0.2,2.0,41.0,39.0,0.005,0.001,0.59,0.15,59.0,0.0
21.0,24.0,2.94,6.5,0.0,0.0,0.0,1.0,300.0,260.0,400.0,2.0,0.47,0.13,0.2,2.0,59.0,23.0,0.005,0.001,10.0,0.15,38.0,1.0
26.0,14.0,5.65,7.195,0.0,0.0,0.0,1.0,15000.0,4700.0,920.0,5.1,1.2,0.26,0.23,2.1,30.0,21.0,0.005,0.001,0.1,2.61,35.0,1.0
19.0,20.0,5.85,7.28,0.0,0.0,0.0,0.0,5000.0,1400.0,300.0,6.2,0.62,0.21,0.2,2.0,30.0,40.0,0.005,1.0,2.79,0.15,35.0,1.0
16.0,13.0,5.4,7.195,0.0,0.0,0.0,0.0,3000.0,2700.0,500.0,13.9,10.0,0.95,0.37,2.0,30.0,19.0,0.005,0.001,3.85,0.15,39.0,1.0
16.0,13.0,5.4,7.195,0.0,0.0,0.0,0.0,62000.0,5800.0,2480.0,2.6,1.7,0.3,0.2,3.4,30.0,12.0,0.005,0.001,10.0,0.15,28.0,1.0
28.0,27.0,6.5,6.0,0.0,0.0,0.0,0.0,1700.0,1000.0,60.0,4.3,0.51,0.46,0.19,3.1,52.0,20.0,0.005,0.001,11.81,0.15,37.0,1.0
18.0,21.0,6.32,7.195,0.0,0.0,0.0,0.0,1.3,600.0,130.0,5.3,0.77,0.15,0.14,2.0,30.0,23.0,0.005,1.0,7.4,0.15,35.0,1.0
13.7,14.0,7.64,7.195,0.0,0.0,0.0,0.0,2900.0,2300.0,1400.0,8.6,1.0,0.58,0.28,2.0,30.0,20.0,0.005,0.001,3.11,0.15,40.0,1.0
22.0,23.0,5.61,7.195,0.0,0.0,0.0,0.0,400.0,400.0,300.0,3.1,0.27,0.19,0.2,2.0,30.0,14.0,0.005,0.001,10.0,0.15,41.0,1.0
28.7,30.0,8.53,6.95,0.0,0.0,0.0,0.0,5200.0,4500.0,110.0,5.5,0.5,0.3,0.28,2.5,30.0,24.0,0.005,0.001,6.7,0.99,40.0,1.0
18.0,22.0,5.16,7.195,0.0,0.0,0.0,0.0,5800.0,4200.0,500.0,6.9,0.94,0.2,0.19,2.0,30.0,13.0,0.005,1.0,6.4,0.15,35.0,1.0
13.7,14.0,6.66,7.195,0.0,0.0,0.0,0.0,3300.0,2300.0,1500.0,39.4,8.5,1.5,0.61,4.3,30.0,4.0,0.005,0.001,0.94,0.15,40.0,1.0
24.0,23.0,6.69,7.195,0.0,0.0,0.0,0.0,500.0,500.0,200.0,5.0,0.6,0.19,0.2,2.0,30.0,18.0,0.005,0.001,10.0,0.15,39.0,1.0
20.0,22.0,3.24,7.195,0.0,0.0,0.0,0.0,24.0,19000.0,5000.0,20.0,2.9,0.43,0.33,3.1,30.0,3.5,0.005,1.0,1.31,0.15,32.0,1.0
17.5,14.0,6.37,7.195,0.0,0.0,0.0,0.0,150000.0,65000.0,18000.0,12.7,1.4,0.29,0.28,2.8,30.0,21.0,0.005,0.001,2.83,0.15,35.0,1.0
23.0,23.0,4.86,7.195,0.0,0.0,0.0,0.0,28000.0,20000.0,10000.0,14.4,2.1,0.36,0.2,2.7,30.0,6.2,0.005,0.001,10.0,0.15,32.0,1.0
25.9,28.0,8.27,7.24,0.0,0.0,0.0,1.0,7600.0,1400.0,1.5,10.1,0.75,0.52,0.36,4.1,30.0,16.0,0.005,0.001,52.405,0.27,34.0,1.0
18.0,16.0,6.6,6.73,0.0,0.0,0.0,0.0,3.4,3.4,800.0,8.7,0.93,0.22,0.21,2.0,30.0,14.0,0.005,1.0,2.72,0.15,37.0,1.0
13.8,11.5,8.15,6.82,1.0,0.0,0.0,0.0,20000.0,3000.0,800.0,16.9,1.2,1.2,0.35,2.8,30.0,12.0,0.005,0.001,0.45,0.15,38.0,1.0
23.0,22.0,6.95,6.64,0.0,0.0,0.0,1.0,3000.0,2000.0,900.0,5.8,0.77,0.2,0.2,2.1,30.0,13.0,0.005,0.001,10.0,0.15,37.0,1.0
25.5,28.0,6.79,6.6,0.0,0.0,0.0,1.0,2000.0,1200.0,320.0,7.3,0.44,0.27,0.23,3.0,57.0,15.0,0.005,0.001,5.905,0.18,36.0,1.0
18.0,15.0,5.2,6.74,0.0,0.0,0.0,0.0,4.2,4.0,100.0,8.8,1.0,0.21,0.2,2.0,30.0,12.0,0.005,1.0,0.1,0.15,37.0,1.0
14.3,11.3,5.58,6.53,0.0,0.0,0.0,1.0,13200.0,9800.0,3000.0,16.0,1.5,0.55,0.31,2.8,30.0,15.0,0.005,0.001,1.06,0.15,37.0,1.0
23.0,22.0,4.88,7.06,0.0,0.0,0.0,1.0,22000.0,14000.0,16000.0,5.3,1.3,0.22,0.2,2.3,30.0,6.1,0.005,0.001,10.0,0.15,33.0,1.0
24.0,28.0,7.41,6.58,0.0,0.0,0.0,1.0,7000.0,1600.0,300.0,5.4,0.92,0.41,0.24,4.9,30.0,14.0,0.033,0.001,52.405,0.41,34.0,1.0
17.0,15.0,5.57,6.85,0.0,0.0,0.0,0.0,6.8,3.7,50.0,9.3,0.89,0.22,0.21,2.0,30.0,14.0,0.005,1.0,3.3,0.15,36.0,1.0
13.1,11.3,5.14,6.74,0.0,0.0,0.0,0.0,38000.0,11000.0,3500.0,16.7,1.9,0.77,0.36,4.0,30.0,15.0,0.005,0.001,0.45,0.15,38.0,1.0
24.0,22.0,5.07,6.5,0.0,0.0,0.0,1.0,11000.0,11000.0,3000.0,4.2,1.8,0.25,0.2,3.8,30.0,18.0,0.005,0.001,10.0,0.15,36.0,1.0
27.8,15.0,8.0,7.7,0.0,0.0,0.0,0.0,1100.0,1100.0,400.0,44.0,0.4,0.35,0.29,7.0,50.0,33.0,0.005,0.001,0.1,0.27,49.0,0.0
19.0,19.0,2.2,7.5,0.0,0.0,0.0,0.0,200.0,140.0,180.0,44.0,4.0,0.255,0.2,9.0,50.0,17.0,0.0055,1.0,0.36,0.15,33.0,1.0
25.2,15.0,6.4,7.3,0.0,0.0,0.0,0.0,1300.0,1300.0,780.0,44.0,0.6,0.35,0.21,5.0,50.0,50.0,0.005,0.001,0.1,0.15,38.0,1.0
18.0,18.0,6.2,7.3,0.0,0.0,0.0,0.0,29.0,21.0,760.0,44.0,2.0,0.12,0.11,5.0,50.0,21.0,0.005,1.0,0.1,0.15,35.0,1.0
26.4,15.0,7.9,7.7,0.0,0.0,0.0,0.0,1700.0,1600.0,480.0,44.0,0.1,0.45,0.17,6.0,50.0,65.0,0.005,0.001,20.82,0.41,40.0,1.0
18.0,18.0,7.6,7.4,0.0,0.0,0.0,0.0,19.0,19.0,5500.0,44.0,0.9,0.17,0.16,5.0,50.0,40.0,0.005,1.0,0.87,0.15,35.0,1.0
25.6,14.5,8.4,7.8,0.0,0.0,0.0,0.0,850.0,850.0,300.0,44.0,0.1,0.33,0.23,17.0,50.0,66.0,0.0075,0.001,2.23,0.15,45.0,0.0
18.0,18.0,7.6,7.3,0.0,0.0,0.0,0.0,4.1,4.1,760.0,44.0,0.5,0.16,0.15,7.0,50.0,68.0,0.005,1.0,0.1,0.15,39.0,1.0
15.21,13.0,0.6,7.29,0.0,0.0,0.0,1.0,40000.0,10300.0,14000.0,11.0,9.1,0.55,0.53,4.0,37.0,16.0,0.005,0.001,2.61,0.15,32.0,1.0
24.69,25.0,3.03,7.0,0.0,0.0,0.0,0.0,7000.0,2200.0,200.0,9.9,0.05,0.64,0.57,4.9,30.0,23.0,0.005,0.001,19.6,0.54,37.0,1.0
18.0,15.0,3.55,7.08,0.0,0.0,0.0,1.0,21.5,10.75,4775.0,10.2,1.1,0.32,0.31,2.9,30.0,45.0,0.0078,1.0,0.1,0.15,37.0,1.0
22.0,21.0,3.33,7.05,1.0,1.0,0.0,1.0,19000.0,16000.0,6000.0,12.7,0.78,0.54,0.225,17.0,37.0,16.0,0.0,0.001,10.0,0.15,23.0,1.0
15.18,13.0,1.2,7.48,0.0,0.0,0.0,0.0,12000.0,4600.0,1200.0,10.5,10.0,1.4,0.65,7.7,40.0,19.0,0.005,0.001,3.48,0.16,38.0,1.0
23.87,26.0,4.85,7.23,0.0,0.0,0.0,0.0,1000.0,100.0,240.0,3.7,0.44,0.47,0.32,2.6,30.0,27.0,0.005,0.001,3.67,0.16,45.0,0.0
18.0,15.0,5.22,7.33,0.0,0.0,0.0,0.0,1602.0,1400.0,850.0,5.8,0.73,0.25,0.24,2.0,30.0,50.0,0.005,1.0,5.52,0.15,40.0,1.0
23.0,22.0,6.4,7.39,0.0,0.0,0.0,0.0,500.0,500.0,150.0,2.9,1.9,0.29,0.225,4.6,30.0,30.0,0.005,0.001,10.0,0.15,40.0,1.0
24.2,26.0,4.99,7.36,0.0,0.0,0.0,0.0,1000.0,200.0,120.0,3.6,0.63,0.28,0.22,3.5,30.0,23.0,0.005,0.001,7.62,0.2,38.0,1.0
19.0,15.0,5.24,7.48,0.0,0.0,0.0,1.0,10000.0,4100.0,750.0,8.5,0.52,0.25,0.24,4.2,30.0,37.0,0.005,1.0,2.61,0.15,39.0,1.0
22.0,22.0,6.3,7.39,0.0,0.0,0.0,0.0,1000.0,900.0,290.0,3.1,1.3,0.2,0.2,3.1,30.0,26.0,0.005,0.001,10.0,0.15,40.0,1.0
15.0,13.0,1.22,7.47,0.0,0.0,0.0,0.0,4000.0,2200.0,800.0,13.8,7.2,2.7,0.6,5.2,30.0,12.0,0.005,0.001,3.85,0.16,38.0,1.0
15.1,13.0,0.96,7.5,0.0,0.0,0.0,0.0,2000.0,2000.0,1000.0,11.7,8.2,2.1,0.56,4.7,30.0,14.0,0.005,0.001,3.85,0.16,39.0,1.0
24.5,26.0,3.02,7.45,0.0,0.0,0.0,0.0,4000.0,2000.0,10.0,10.6,0.05,0.75,0.36,5.3,30.0,21.0,0.007,0.001,17.06,0.9,39.0,1.0
19.0,15.0,4.45,7.48,0.0,0.0,0.0,0.0,7800.0,3700.0,730.0,8.9,0.44,0.26,0.25,4.1,30.0,32.0,0.005,1.0,1.81,0.15,41.0,1.0
22.0,22.0,5.94,7.41,0.0,0.0,0.0,0.0,900.0,900.0,300.0,2.8,1.4,0.24,0.2,3.9,33.0,20.0,0.005,0.001,15.4,0.15,38.0,1.0
24.6,26.0,1.99,7.5,0.0,0.0,0.0,0.0,5000.0,900.0,10.0,9.9,0.05,0.42,0.4,4.5,30.0,21.0,0.009,0.001,4.57,0.25,40.0,1.0
18.0,15.0,3.22,7.52,0.0,0.0,0.0,0.0,5000.0,2500.0,80.0,15.2,2.9,0.57,0.56,3.8,30.0,11.0,0.005,1.0,0.1,0.15,35.0,1.0
22.0,22.0,6.3,7.42,0.0,0.0,0.0,0.0,1100.0,1100.0,300.0,2.8,1.2,0.2,0.2,3.1,30.0,25.0,0.005,0.001,10.0,0.15,40.0,1.0
14.5,13.0,1.1,7.34,0.0,0.0,0.0,0.0,4000.0,2000.0,2000.0,13.3,8.0,0.72,0.4,4.4,30.0,8.0,0.005,0.001,6.13,0.15,37.0,1.0
14.53,13.0,2.64,7.53,0.0,0.0,0.0,1.0,800.0,800.0,400.0,13.9,8.9,1.4,0.32,2.3,32.0,12.0,0.005,0.001,5.99,0.15,36.0,1.0
25.3,28.0,6.82,5.32,0.0,0.0,0.0,0.0,1000.0,170.0,25.0,7.0,0.76,0.68,0.33,6.3,30.0,23.0,0.007,0.001,44.42,0.15,37.0,1.0
17.0,23.0,6.654999999999999,7.15,0.0,0.0,0.0,0.0,2000.0,350.0,40.0,3.0,0.33,0.15,0.14,2.0,30.0,60.0,0.005,1.0,3.45,0.15,38.0,1.0
22.0,22.0,5.55,7.41,0.0,0.0,0.0,0.0,2400.0,1800.0,330.0,2.8,1.9,0.27,0.2,3.8,80.0,13.0,0.005,0.001,10.0,0.15,40.0,1.0
12.0,15.0,9.88,7.66,1.0,0.0,0.0,1.0,420.0,420.0,1000.0,9.2,1.5,1.0,0.25,2.0,30.0,19.0,0.005,0.001,1.47,0.15,39.0,1.0
25.0,28.0,6.3,5.31,0.0,0.0,0.0,0.0,2000.0,120.0,2.0,7.6,0.59,0.38,0.23,3.2,30.0,35.0,0.007,0.001,2.61,0.15,47.0,0.0
17.0,23.0,5.7,7.04,0.0,0.0,0.0,0.0,3.0,840.0,88.0,2.7,0.22,0.14,0.13,2.0,30.0,70.0,0.005,1.0,17.13,0.15,37.0,1.0
16.0,22.0,2.9050000000000002,6.91,0.0,0.0,0.0,1.0,600.0,470.0,220.0,3.7,0.92,0.23,0.2,3.9,30.0,18.0,0.005,0.001,10.0,0.17,40.0,1.0
12.0,15.0,9.3,7.4,0.0,0.0,0.0,0.0,450.0,450.0,640.0,8.9,1.9,3.1,0.3,2.0,30.0,22.0,0.005,0.001,3.1,0.15,40.0,1.0
25.0,28.0,7.23,6.32,0.0,0.0,0.0,0.0,6000.0,400.0,30.0,6.9,0.24,0.34,0.18,2.7,30.0,38.0,0.011,0.001,3.1,5.0,40.0,1.0
17.0,23.0,4.845000000000001,6.75,0.0,0.0,0.0,0.0,2.0,400.0,60.0,10.0,0.78,0.3,0.29,2.0,30.0,17.0,0.005,1.0,1.2,0.15,36.0,1.0
16.0,22.0,4.845000000000001,6.97,0.0,0.0,0.0,0.0,800.0,540.0,140.0,3.8,0.78,0.24,0.2,7.3,30.0,11.0,0.005,0.001,10.7,0.15,39.0,1.0
18.5,24.0,6.654999999999999,7.3149999999999995,0.0,0.0,0.0,0.0,1000.0,800.0,530.0,2.4,0.05,0.86,0.14,17.0,120.0,150.0,0.005,0.001,174.32,5.0,40.0,1.0
17.5,12.0,4.845000000000001,7.195,0.0,0.0,0.0,0.0,178.0,170000.0,9000.0,6.3,16.0,1.2,1.2,24.0,41.0,12.0,0.005,1.0,5.91,0.15,28.0,1.0
16.0,22.0,4.845000000000001,6.63,0.0,0.0,0.0,1.0,600.0,500.0,50.0,9.0,1.4,0.2,0.2,7.2,32.0,9.3,0.005,0.001,10.0,0.58,36.0,1.0
12.0,15.0,8.11,7.55,0.0,0.0,0.0,0.0,600.0,600.0,260.0,7.7,1.5,0.48,0.25,2.0,30.0,27.0,0.005,0.001,1.31,0.15,47.0,0.0
18.5,26.0,6.654999999999999,7.3149999999999995,0.0,0.0,0.0,0.0,4000.0,130.0,200.0,2.0,0.05,0.55,0.16,6.5,59.0,140.0,0.006,0.001,133.41,5.0,40.0,1.0
17.0,14.0,5.23,7.12,0.0,0.0,0.0,0.0,2.0,2000.0,7600.0,16.7,2.1,0.43,0.42,7.9,30.0,23.0,0.0076,1.0,126.75,0.15,31.0,1.0
18.5,19.0,6.654999999999999,7.3149999999999995,0.0,0.0,0.0,0.0,4100.0,4100.0,1200.0,5.3,1.3,0.74,0.16999999999999998,11.0,115.0,95.0,0.0,0.001,48.1,0.15,29.0,1.0
18.5,28.0,6.654999999999999,7.3149999999999995,0.0,0.0,0.0,0.0,7000.0,100.0,120.0,2.0,0.06,0.52,0.14,7.6,96.0,120.0,0.005,0.001,101.82,5.0,40.0,1.0
17.0,13.0,5.23,7.12,0.0,0.0,0.0,0.0,1.0,900.0,500.0,4.2,0.3,0.39,0.13,5.2,36.0,22.0,0.005,1.0,120.95,0.15,34.0,1.0
18.0,21.0,4.385,7.205,0.0,0.0,0.0,0.0,18000.0,14000.0,1430.0,3.4,0.61,0.76,0.275,12.0,130.0,55.0,0.0,0.001,42.7,0.15,29.0,1.0
17.5,24.0,6.324999999999999,7.605,0.0,1.0,0.0,1.0,200.0,100.0,20.0,2.0,0.07,0.36,0.12,4.1,38.0,80.0,0.005,0.001,101.82,5.0,38.0,1.0
23.95,11.0,8.274999999999999,7.675,0.0,0.0,0.0,0.0,4250.0,985.0,55.75,7.0,0.09,0.27,0.15,3.0,30.0,20.0,0.005,1.0,94.81,0.15,37.0,1.0
17.5,21.0,4.845000000000001,7.195,0.0,0.0,0.0,0.0,10000.0,400.0,410.0,3.3,0.24,0.5,0.2,4.1,61.0,32.0,0.0,0.001,19.4,0.15,37.0,1.0
18.5,12.0,6.654999999999999,7.3149999999999995,0.0,0.0,0.0,0.0,1400.0,1000.0,1160.0,7.3,0.87,0.44,0.43,3.6,76.0,75.0,0.005,0.001,28.85,0.2,34.0,1.0
25.4,25.0,11.49,9.59,0.0,0.0,0.0,0.0,300.0,40.0,60.0,2.4,0.06,0.26,0.1,3.5,30.0,60.0,0.005,0.001,82.3,5.0,38.5,1.0
17.0,15.0,12.62,9.38,0.0,0.0,0.0,0.0,700.0,130.0,15.0,6.1,0.09,0.23,0.18,3.2,30.0,27.0,0.005,1.0,152.11,0.15,36.0,1.0
18.5,15.0,5.23,7.405,0.0,0.0,0.0,0.0,600.0,360.0,340.0,4.5,0.3,0.72,0.2,2.6,59.0,40.0,0.005,0.001,10.0,0.15,39.0,1.0
12.3,13.0,8.44,10.5,0.0,0.0,0.0,0.0,400.0,60.0,750.0,11.2,0.69,0.39,0.34,4.0,40.0,50.0,0.005,0.001,67.76,0.15,36.0,1.0
24.2,25.0,7.13,8.69,0.0,0.0,0.0,0.0,700.0,60.0,40.0,2.5,0.05,0.81,0.2,11.0,230.0,432.0,0.005,0.001,740.93,5.0,44.5,0.5
17.0,15.0,9.05,8.55,0.0,0.0,0.0,0.0,100.0,35.0,5.0,5.1,0.17,0.19,0.18,2.0,30.0,25.0,0.005,1.0,20.6,0.15,40.0,1.0
22.0,16.5,8.28,8.11,0.0,0.0,0.0,0.0,900.0,570.0,110.0,6.4,0.44,0.17,0.2,2.0,30.0,32.0,0.005,0.001,84.8,0.86,38.0,1.0
24.4,25.0,2.68,7.82,0.0,0.0,0.0,0.0,22000.0,5600.0,2.4,2.7,11.0,0.59,0.17,12.0,90.0,65.0,0.005,0.001,52.69,5.0,41.5,1.0
17.0,15.0,4.24,7.84,0.0,0.0,0.0,0.0,15000.0,6800.0,1200.0,6.2,0.62,0.21,0.2,2.0,30.0,40.0,0.005,1.0,2.79,0.15,34.0,1.0
22.0,18.5,5.48,7.55,0.0,0.0,0.0,0.0,100.0,100.0,35.0,6.1,0.52,0.15,0.2,2.0,30.0,17.0,0.005,0.001,10.0,0.15,45.0,0.0
12.9,13.0,8.57,8.01,0.0,0.0,0.0,0.0,400.0,100.0,200.0,10.6,1.2,0.42,0.26,2.7,30.0,28.0,0.005,0.001,17.5,0.16,40.0,1.0
13.8,13.0,5.63,7.96,0.0,0.0,0.0,0.0,11000.0,3000.0,2600.0,20.7,3.5,0.75,0.48,4.5,40.0,55.0,0.005,0.001,18.75,0.19,37.0,1.0
22.8,25.0,6.13,8.07,0.0,0.0,0.0,0.0,12000.0,320.0,100.0,5.6,0.11,0.3,0.12,3.2,40.0,27.0,0.005,0.001,34.02,5.0,40.5,1.0
17.0,15.0,7.43,7.88,0.0,0.0,0.0,0.0,200.0,120.0,40.0,11.6,0.23,0.16,0.15,2.0,30.0,27.0,0.005,1.0,32.49,0.15,39.0,1.0
21.0,18.5,0.2,7.58,0.0,0.0,0.0,0.0,41000.0,38000.0,5600.0,6.5,0.96,0.72,0.2,5.3,30.0,17.0,0.005,0.001,10.0,2.42,35.0,1.0
22.0,25.0,6.24,7.75,0.0,0.0,0.0,1.0,7000.0,3200.0,480.0,3.7,4.0,0.57,0.4,3.8,30.0,30.0,0.005,0.001,53.07,5.0,38.5,1.0
17.0,13.0,6.33,8.7,0.0,0.0,0.0,0.0,1.0,400.0,120.0,5.5,0.13,0.22,0.18,2.6,30.0,45.0,0.005,1.0,47.31,0.15,35.0,1.0
21.0,18.5,4.76,7.65,1.0,0.0,0.0,0.0,200.0,200.0,160.0,2.0,8.4,0.2,0.2,8.4,52.0,17.0,0.005,0.001,10.0,0.69,37.0,1.0
12.6,13.0,8.99,8.08,0.0,0.0,0.0,0.0,500.0,200.0,230.0,10.7,1.1,0.77,0.26,3.1,30.0,32.0,0.005,0.001,30.9,0.15,37.0,1.0
22.0,25.0,5.92,7.96,1.0,1.0,1.0,1.0,9000.0,2000.0,1.0,2.0,18.0,1.6,1.6,4.8,30.0,2.9,0.005,0.001,17.42,5.0,40.5,1.0
18.0,16.0,11.7,9.39,0.0,0.0,0.0,0.0,32000.0,32000.0,1500.0,22.5,6.3,0.61,0.51,4.8,30.0,12.0,0.005,1.0,29.02,0.15,32.0,1.0
